wav/SSB00050112.wav	即便是一些高价低廉的别墅项目	SSB0005
wav/SSB00090181.wav	那很不明智	SSB0009
wav/SSB00110401.wav	三百零五千三百三十四	SSB0011
wav/SSB00120415.wav	新闻上都在播呢	SSB0012
wav/SSB00160485.wav	伦敦位列众城市之首	SSB0016
wav/SSB00180170.wav	却存在对基金持有人中小投资者利益考虑不足的情况	SSB0018
wav/SSB00330433.wav	随便搜一首沧浪之歌	SSB0033
wav/SSB00380324.wav	大学生网购毕业设计作品后赖账卖家举报其作弊	SSB0038
wav/SSB00430378.wav	三百二十八万一千一百三十八点四八	SSB0043
wav/SSB00570140.wav	加快发展现代保险服务业	SSB0057
wav/SSB00730374.wav	现在这个部门还在研究月球探测器和自动驾驶汽车	SSB0073
wav/SSB00800191.wav	两位助阵嘉宾的出现让观众们大感惊喜又颇为感动	SSB0080
wav/SSB01120364.wav	你只要爱我就够了	SSB0112
wav/SSB01220373.wav	为经济发展制定相关政策提供数据依据	SSB0122
wav/SSB01330012.wav	视频截图新京报快讯记者林斐然昨晚起	SSB0133
wav/SSB01390308.wav	迪卡侬运动专业超市	SSB0139
wav/SSB01450004.wav	这份希望中小股东一致行动的倡议书被广泛传播	SSB0145
wav/SSB01490418.wav	丰富香港人民币发债主体	SSB0149
wav/SSB01930310.wav	九月一日通讯公司的停机令将近	SSB0193
wav/SSB01970187.wav	我们已经统一按照新的政策处理了	SSB0197
wav/SSB02000375.wav	加强电话销售过程管理	SSB0200
wav/SSB02410470.wav	西马庄学校	SSB0241
wav/SSB02460212.wav	随着我国人口结构趋势性变化	SSB0246
wav/SSB02610484.wav	哪个这么大的胆子	SSB0261
wav/SSB02670376.wav	我相信很好吃	SSB0267
wav/SSB02730076.wav	南洋大厦停车场	SSB0273
wav/SSB02870480.wav	一名六零岁左右的工人当场死亡	SSB0287
wav/SSB02880065.wav	而在芜湖市繁昌县也有一名公交司机	SSB0288
wav/SSB02990372.wav	搜索下帮忙	SSB0299
wav/SSB03070366.wav	零点三三	SSB0307
